Pa¡s,Casos,Muertes
United_States_of_America," 875,289 "," 57,796 "
United_Kingdom," 143,080 "," 24,054 "
Spain," 110,916 "," 17,203 "
Turkey," 106,762 "," 2,913 "
Italy," 101,852 "," 16,091 "
Russia," 97,563 ", 962 
Germany," 97,206 "," 5,705 "
France," 83,892 "," 21,063 "
Brazil," 73,583 "," 5,307 "
Iran," 52,162 "," 3,200 "
Canada," 44,163 "," 2,907 "
Belgium," 35,960 "," 6,988 "
Peru," 32,981 ", 919 
India," 31,799 "," 1,042 "
Netherlands," 27,052 "," 3,847 "
Ecuador," 22,709 ", 821 
Saudi_Arabia," 19,949 ", 149 
Portugal," 18,284 ", 849 
Ireland," 17,343 "," 1,136 "
Mexico," 16,705 "," 1,704 "
Sweden," 16,274 "," 2,316 "
Singapore," 14,797 ", 11 
Pakistan," 14,134 ", 328 
Switzerland," 13,912 "," 1,112 "
Belarus," 13,076 ", 84 
Chile," 12,436 ", 208 
Japan," 12,135 ", 359 
Qatar," 11,871 ", 9 
Israel," 11,361 ", 198 
United_Arab_Emirates," 11,318 ", 93 
Poland," 10,585 ", 593 
Romania," 10,026 ", 631 
Ukraine," 9,386 ", 239 
Indonesia," 8,357 ", 662 
Serbia," 7,983 ", 160 
Bangladesh," 7,054 ", 158 
Denmark," 6,431 ", 366 
Philippines," 6,128 ", 470 
Dominican_Republic," 5,751 ", 251 
Austria," 5,746 ", 472 
Colombia," 5,413 ", 264 
Panama," 5,303 ", 152 
Egypt," 4,659 ", 340 
Czechia," 4,577 ", 203 
South_Africa," 4,024 ", 100 
Morocco," 3,765 ", 135 
Finland," 3,593 ", 193 
Kuwait," 3,474 ", 24 
Moldova," 3,473 ", 109 
Norway," 3,441 ", 176 
Malaysia," 3,319 ", 63 
Argentina," 3,306 ", 190 
Algeria," 3,264 ", 409 
Kazakhstan," 2,880 ", 24 
Bahrain," 2,406 ", 4 
Hungary," 2,283 ", 296 
Australia," 2,189 ", 71 
Oman," 2,095 ", 10 
Uzbekistan," 1,853 ", 7 
Afghanistan," 1,808 ", 56 
Luxembourg," 1,781 ", 67 
China," 1,703 "," 1,328 "
Cameroon," 1,690 ", 59 
Nigeria," 1,597 ", 49 
Ghana," 1,519 ", 11 
Azerbaijan," 1,493 ", 19 
Armenia," 1,450 ", 27 
Iraq," 1,373 ", 46 
Greece," 1,364 ", 96 
Guinea," 1,335 ", 7 
Thailand," 1,303 ", 44 
Cuba," 1,297 ", 54 
Croatia," 1,272 ", 61 
Puerto_Rico," 1,259 ", 80 
Bosnia_and_Herzegovina," 1,235 ", 54 
North_Macedonia," 1,157 ", 66 
Bulgaria," 1,088 ", 56 
Cote_dIvoire," 1,070 ", 13 
Slovakia," 1,055 ", 22 
Djibouti," 1,051 ", 2 
Bolivia," 1,003 ", 53 
South_Korea, 979 , 84 
Estonia, 951 , 47 
Lithuania, 891 , 38 
Senegal, 720 , 9 
Iceland, 711 , 8 
Kosovo, 693 , 21 
Niger, 693 , 29 
Tunisia, 668 , 32 
Kyrgyzstan, 662 , 8 
Slovenia, 655 , 78 
Honduras, 630 , 64 
Cyprus, 613 , 8 
Somalia, 579 , 28 
Guatemala, 549 , 15 
Albania, 543 , 19 
Sri_Lanka, 529 , 6 
New_Zealand, 482 , 18 
Latvia, 473 , 15 
Mali, 464 , 25 
United_Republic_of_Tanzania, 461 , 15 
Georgia, 419 , 6 
Burkina_Faso, 419 , 31 
Democratic_Republic_of_the_Congo, 402 , 23 
Palestine, 392 , 1 
Costa_Rica, 383 , 4 
Andorra, 373 , 34 
Sudan, 369 , 26 
Jamaica, 358 , 6 
El_Salvador, 345 , 9 
Kenya, 334 , 14 
San_Marino, 334 , 16 
Uruguay, 306 , 14 
Equatorial_Guinea, 301 , 1 
Malta, 298 , 4 
Lebanon, 275 , 13 
Isle_of_Man, 271 , 21 
Gabon, 269 , 2 
Maldives, 260 , -   
Montenegro, 231 , 6 
Jersey, 223 , 19 
Guernsey, 206 , 13 
Mauritius, 204 , 7 
Congo, 201 , 9 
Venezuela, 196 , 7 
Paraguay, 184 , 6 
Jordan, 183 , 3 
Rwanda, 155 , -   
Liberia, 138 , 16 
Myanmar, 136 , 6 
Taiwan, 123 , 1 
Sierra_Leone, 116 , 4 
Cape_Verde, 108 , -   
Ethiopia, 107 , 3 
Guam, 85 , 4 
Madagascar, 84 , -   
Bermuda, 84 , 6 
Eswatini, 82 , 1 
Togo, 75 , 6 
Guinea_Bissau, 75 , 1 
Sint_Maarten, 73 , 13 
Gibraltar, 72 , -   
Guyana, 70 , 7 
Mozambique, 68 , -   
Bahamas, 66 , 11 
Vietnam, 64 , -   
Benin, 63 , 2 
Zambia, 62 , 3 
Haiti, 61 , 6 
Cayman_Islands, 61 , -   
Libya, 53 , 2 
Nepal, 52 , -   
Aruba, 50 , 2 
Uganda, 48 , -   
Barbados, 46 , 7 
Monaco, 46 , 4 
Chad, 45 , 2 
Central_African_Republic, 44 , -   
Malawi, 36 , 3 
United_States_Virgin_Islands, 36 , 4 
South_Sudan, 34 , -   
Syria, 33 , 1 
Trinidad_and_Tobago, 31 , 5 
Zimbabwe, 27 , 3 
Eritrea, 27 , -   
Mongolia, 26 , -   
Timor_Leste, 23 , -   
Botswana, 23 , 1 
French_Polynesia, 22 , -   
Angola, 20 , -   
Faroe_Islands, 19 , -   
Liechtenstein, 19 , 1 
Antigua_and_Barbuda, 17 , 3 
Saint_Vincent_and_the_Grenadines, 15 , -   
Belize, 15 , 2 
Burundi, 15 , 1 
Sao_Tome_and_Principe, 14 , -   
Cambodia, 13 , -   
Falkland_Islands_(Malvinas), 13 , -   
Fiji, 13 , -   
Northern_Mariana_Islands, 12 , 2 
Grenada, 11 , -   
Brunei_Darussalam, 11 , -   
Laos, 10 , -   
Nicaragua, 10 , 3 
Saint_Kitts_and_Nevis, 8 , -   
Saint_Lucia, 8 , -   
Papua_New_Guinea, 7 , -   
Gambia, 7 , -   
Turks_and_Caicos_islands, 7 , 1 
Cura‡ao, 7 , -   
Western_Sahara, 6 , -   
"Bonaire, Saint Eustatius and Saba", 6 , -   
Yemen, 6 , -   
Montserrat, 6 , 1 
Namibia, 5 , -   
Dominica, 5 , -   
Holy_See, 4 , -   
Bhutan, 3 , -   
British_Virgin_Islands, 3 , 1 
New_Caledonia, 2 , -   
Mauritania, 2 , 1 
Suriname, 2 , 1 
Anguilla, 1 , -   
Greenland, 1 , -   
Seychelles, 1 , -   
